borough_id,nbhd,name,transaction_volume,property_count,average_sale_price
1,MIDTOWN WEST,Manhattan,2551,832,1936104.8369266954
1,UPPER EAST SIDE (59-79),Manhattan,2513,1143,2098387.59689614
1,UPPER EAST SIDE (79-96),Manhattan,2193,1049,1322473.2065663475
1,UPPER WEST SIDE (59-79),Manhattan,1974,992,1185659.366767984
1,MIDTOWN EAST,Manhattan,1901,748,810799.6559705419
1,UPPER WEST SIDE (79-96),Manhattan,1164,548,1248312.1778350514
1,MURRAY HILL,Manhattan,891,458,1307953.1964085298
1,GREENWICH VILLAGE-CENTRAL,Manhattan,803,299,1163332.503113325
1,GREENWICH VILLAGE-WEST,Manhattan,789,481,1452493.8580481622
1,HARLEM-CENTRAL,Manhattan,788,634,757587.1205583756
1,CHELSEA,Manhattan,775,395,1462290.5664516129
1,GRAMERCY,Manhattan,588,160,655671.137755102
1,UPPER WEST SIDE (96-116),Manhattan,521,191,1142190.1842610366
1,TRIBECA,Manhattan,480,435,1588656.4354166666
1,KIPS BAY,Manhattan,468,356,1441306.9252136752
1,FLATIRON,Manhattan,372,221,2042836.5456989247
1,WASHINGTON HEIGHTS UPPER,Manhattan,353,125,621368.0283286119
1,LOWER EAST SIDE,Manhattan,352,136,729817.3039772727
1,SOHO,Manhattan,335,269,2237302.9014925375
1,MANHATTAN VALLEY,Manhattan,243,190,807300.8312757201
1,MIDTOWN CBD,Manhattan,228,170,9054969.52631579
1,CLINTON,Manhattan,211,113,1617782.758293839
1,FASHION,Manhattan,190,131,5934879.9421052635
1,WASHINGTON HEIGHTS LOWER,Manhattan,184,111,1717765.3206521738
1,INWOOD,Manhattan,173,68,714744.3930635838
1,HARLEM-UPPER,Manhattan,152,134,1134651.0789473683
1,HARLEM-EAST,Manhattan,149,137,1094495.1409395973
1,ALPHABET CITY,Manhattan,149,97,637390.3489932886
1,CIVIC CENTER,Manhattan,130,104,2956468.0076923077
1,EAST VILLAGE,Manhattan,129,75,1104174.6744186047
1,FINANCIAL,Manhattan,104,65,17506030.067307692
1,MORNINGSIDE HEIGHTS,Manhattan,87,22,422246.6551724138
1,SOUTHBRIDGE,Manhattan,70,64,2601262.7
1,UPPER EAST SIDE (96-110),Manhattan,64,27,2423006.265625
1,CHINATOWN,Manhattan,60,59,2177816.0166666666
1,JAVITS CENTER,Manhattan,52,16,3239346.576923077
1,LITTLE ITALY,Manhattan,50,47,1761212.92
1,HARLEM-WEST,Manhattan,39,30,2211064.1025641025
1,MANHATTAN-UNKNOWN,Manhattan,1,1,3000000.0
2,RIVERDALE, Bronx,743,201,305276.51816958276
2,PARKCHESTER, Bronx,673,624,150807.4130757801
2,SOUNDVIEW, Bronx,509,473,426995.1394891945
2,WILLIAMSBRIDGE, Bronx,485,421,365974.5649484536
2,MORRISANIA/LONGWOOD, Bronx,460,403,400227.7239130435
2,BAYCHESTER, Bronx,444,407,333040.5653153153
2,BRONXDALE, Bronx,395,328,366270.8430379747
2,WAKEFIELD, Bronx,322,301,387552.81677018636
2,THROGS NECK, Bronx,311,292,391771.83922829584
2,SCHUYLERVILLE/PELHAM BAY, Bronx,287,258,363136.7108013937
2,MORRIS PARK/VAN NEST, Bronx,283,238,370660.10954063607
2,KINGSBRIDGE/JEROME PARK, Bronx,271,118,502007.51291512913
2,MELROSE/CONCOURSE, Bronx,251,178,791399.9282868525
2,BEDFORD PARK/NORWOOD, Bronx,251,178,580243.8007968127
2,CASTLE HILL/UNIONPORT, Bronx,198,186,376545.8181818182
2,EAST TREMONT, Bronx,194,154,566149.8092783506
2,KINGSBRIDGE HTS/UNIV HTS, Bronx,193,120,897936.3678756476
2,WESTCHESTER, Bronx,186,172,657757.0860215054
2,MOTT HAVEN/PORT MORRIS, Bronx,152,141,825456.822368421
2,HIGHBRIDGE/MORRIS HEIGHTS, Bronx,152,138,584277.8881578947
2,PELHAM PARKWAY SOUTH, Bronx,147,81,278214.44217687077
2,COUNTRY CLUB, Bronx,146,138,424263.23287671234
2,PELHAM PARKWAY NORTH, Bronx,143,136,401016.2237762238
2,FORDHAM, Bronx,119,103,1130525.7478991596
2,WOODLAWN, Bronx,90,63,377828.6111111111
2,MOUNT HOPE/MOUNT EDEN, Bronx,89,80,971639.0224719101
2,BATHGATE, Bronx,89,75,668225.6404494382
2,BELMONT, Bronx,83,78,566335.7710843374
2,CITY ISLAND, Bronx,77,74,441406.4935064935
2,HUNTS POINT, Bronx,76,65,591427.7105263158
2,PELHAM GARDENS, Bronx,68,65,408625.4411764706
2,CROTONA PARK, Bronx,64,62,362257.453125
2,FIELDSTON, Bronx,55,33,614223.4181818182
2,VAN CORTLANDT PARK, Bronx,9,3,729611.1111111111
2,CO-OP CITY, Bronx,6,6,418833.3333333333
2,BRONX PARK, Bronx,5,5,254122.4
2,CITY ISLAND-PELHAM STRIP, Bronx,4,4,666375.0
3,BEDFORD STUYVESANT,Brooklyn,1768,1548,409886.2550904977
3,EAST NEW YORK,Brooklyn,1504,1345,333719.2918882979
3,CANARSIE,Brooklyn,1153,1071,362480.6131830009
3,BUSHWICK,Brooklyn,1133,958,352609.84730803175
3,BAY RIDGE,Brooklyn,999,601,422015.6966966967
3,FLATBUSH-EAST,Brooklyn,909,788,347058.1738173817
3,SHEEPSHEAD BAY,Brooklyn,818,513,352634.09290953545
3,CROWN HEIGHTS,Brooklyn,777,671,460038.5353925354
3,PARK SLOPE,Brooklyn,762,561,666420.0853018373
3,BOROUGH PARK,Brooklyn,662,616,604726.3081570996
3,OCEAN HILL,Brooklyn,629,540,360532.7042925278
3,SUNSET PARK,Brooklyn,591,557,494681.80541455164
3,FLATBUSH-CENTRAL,Brooklyn,581,430,591630.8657487091
3,GRAVESEND,Brooklyn,578,516,578084.5968858132
3,BRIGHTON BEACH,Brooklyn,550,374,389801.72545454546
3,OCEAN PARKWAY-NORTH,Brooklyn,548,333,450409.9781021898
3,CYPRESS HILLS,Brooklyn,515,466,425111.1553398058
3,BENSONHURST,Brooklyn,467,417,548556.8608137046
3,MARINE PARK,Brooklyn,433,370,375815.26558891457
3,BROOKLYN HEIGHTS,Brooklyn,410,170,1094518.2585365854
3,MIDWOOD,Brooklyn,391,279,594270.0792838875
3,FLATLANDS,Brooklyn,370,269,359631.18648648646
3,FLATBUSH-NORTH,Brooklyn,353,318,497914.52407932014
3,OCEAN PARKWAY-SOUTH,Brooklyn,352,224,588737.2414772727
3,MADISON,Brooklyn,349,250,576542.229226361
3,OLD MILL BASIN,Brooklyn,326,287,359001.46625766874
3,PROSPECT HEIGHTS,Brooklyn,320,197,672877.578125
3,CLINTON HILL,Brooklyn,308,182,466342.6818181818
3,BROWNSVILLE,Brooklyn,296,263,369346.8783783784
3,WILLIAMSBURG-EAST,Brooklyn,267,251,605121.5505617978
3,GREENPOINT,Brooklyn,262,251,803435.3435114503
3,BATH BEACH,Brooklyn,260,208,732277.5692307692
3,DYKER HEIGHTS,Brooklyn,248,243,579480.2379032258
3,BERGEN BEACH,Brooklyn,236,220,555453.6991525424
3,WILLIAMSBURG-CENTRAL,Brooklyn,213,213,295589.23474178405
3,WINDSOR TERRACE,Brooklyn,213,134,441264.9014084507
3,FORT GREENE,Brooklyn,208,119,557318.9278846154
3,PARK SLOPE SOUTH,Brooklyn,203,190,658716.763546798
3,CARROLL GARDENS,Brooklyn,174,162,764703.143678161
3,KENSINGTON,Brooklyn,173,77,323538.31791907514
3,WILLIAMSBURG-SOUTH,Brooklyn,155,152,1283273.735483871
3,FLATBUSH-LEFFERTS GARDEN,Brooklyn,155,131,575578.0
3,CONEY ISLAND,Brooklyn,134,125,1451238.865671642
3,MILL BASIN,Brooklyn,127,122,751098.8188976378
3,GERRITSEN BEACH,Brooklyn,115,113,376055.83478260867
3,WYCKOFF HEIGHTS,Brooklyn,115,106,481978.3043478261
3,GOWANUS,Brooklyn,113,110,719656.5398230088
3,BOERUM HILL,Brooklyn,112,99,794566.0267857143
3,DOWNTOWN-METROTECH,Brooklyn,104,11,348443.8076923077
3,COBBLE HILL,Brooklyn,100,82,841901.22
3,DOWNTOWN-FULTON FERRY,Brooklyn,95,90,1207601.0631578946
3,RED HOOK,Brooklyn,84,80,868086.3095238095
3,MANHATTAN BEACH,Brooklyn,79,73,847228.8607594937
3,WILLIAMSBURG-NORTH,Brooklyn,77,75,1600596.6883116884
3,SEAGATE,Brooklyn,69,62,499412.84057971014
3,COBBLE HILL-WEST,Brooklyn,62,60,525938.7096774194
3,BUSH TERMINAL,Brooklyn,57,57,932670.1052631579
3,DOWNTOWN-FULTON MALL,Brooklyn,54,20,1964837.2222222222
3,NAVY YARD,Brooklyn,14,13,493831.14285714284
3,BROOKLYN-UNKNOWN,Brooklyn,7,6,480346.4285714286
3,SPRING CREEK,Brooklyn,2,2,7865000.0
4,FLUSHING-NORTH,Queens,2439,1718,474994.2423124231
4,FOREST HILLS,Queens,1248,452,334146.4270833333
4,JACKSON HEIGHTS,Queens,1246,754,375360.32664526487
4,RICHMOND HILL,Queens,1120,1051,414843.70625
4,BAYSIDE,Queens,1118,853,504477.54025044723
4,ELMHURST,Queens,961,687,465936.0676378772
4,SO. JAMAICA-BAISLEY PARK,Queens,938,793,288965.6982942431
4,SOUTH JAMAICA,Queens,910,783,313915.8230769231
4,FLUSHING-SOUTH,Queens,891,594,702311.0022446689
4,CORONA,Queens,886,728,483692.8374717833
4,SOUTH OZONE PARK,Queens,815,754,371111.5680981595
4,REGO PARK,Queens,797,307,266339.5457967378
4,QUEENS VILLAGE,Queens,784,709,352972.762755102
4,ST. ALBANS,Queens,777,701,302930.6344916345
4,ASTORIA,Queens,719,589,663305.0069541029
4,SPRINGFIELD GARDENS,Queens,676,595,371565.43934911245
4,OZONE PARK,Queens,661,626,391549.46596066566
4,WOODHAVEN,Queens,622,575,406780.7395498392
4,ROSEDALE,Queens,574,526,364012.5331010453
4,HOLLIS,Queens,565,512,363500.55221238936
4,HOWARD BEACH,Queens,518,351,315212.0057915058
4,FAR ROCKAWAY,Queens,503,425,448780.5626242545
4,OAKLAND GARDENS,Queens,494,198,290223.26720647776
4,COLLEGE POINT,Queens,485,446,534859.606185567
4,JAMAICA,Queens,485,317,544191.7237113402
4,RIDGEWOOD,Queens,475,453,485120.2147368421
4,WOODSIDE,Queens,461,244,380742.73969631235
4,MIDDLE VILLAGE,Queens,423,404,456387.74704491725
4,KEW GARDENS,Queens,420,155,263398.17619047617
4,GLENDALE,Queens,419,373,448977.54892601434
4,LAURELTON,Queens,411,372,325979.28467153286
4,GLEN OAKS,Queens,407,58,288943.10073710076
4,MASPETH,Queens,376,350,637849.5771276596
4,ARVERNE,Queens,363,309,329290.5509641873
4,WHITESTONE,Queens,359,299,686995.6768802229
4,EAST ELMHURST,Queens,330,283,466198.6303030303
4,SUNNYSIDE,Queens,293,149,450318.1774744027
4,BRIARWOOD,Queens,290,108,353359.38275862066
4,LITTLE NECK,Queens,259,163,552323.8416988417
4,DOUGLASTON,Queens,251,180,704751.8525896415
4,LONG ISLAND CITY,Queens,241,192,1901379.7427385892
4,BELLEROSE,Queens,220,211,425622.2636363636
4,CAMBRIA HEIGHTS,Queens,218,200,318027.6100917431
4,BEECHHURST,Queens,187,102,513992.6256684492
4,FLORAL PARK,Queens,179,143,412267.2402234637
4,HILLCREST,Queens,148,92,313547.7297297297
4,FRESH MEADOWS,Queens,143,109,453170.94405594404
4,JAMAICA ESTATES,Queens,135,114,862935.3703703703
4,HOLLISWOOD,Queens,116,61,364094.224137931
4,JAMAICA HILLS,Queens,112,94,712894.7142857143
4,ROCKAWAY PARK,Queens,108,80,678153.0185185185
4,HAMMELS,Queens,98,90,361865.51020408166
4,BELLE HARBOR,Queens,92,67,494353.6630434783
4,HOLLIS HILLS,Queens,64,43,485699.484375
4,BROAD CHANNEL,Queens,59,57,243592.30508474575
4,FLUSHING MEADOW PARK,Queens,36,10,232999.33333333334
4,NEPONSIT,Queens,35,34,938328.5714285715
4,JAMAICA BAY,Queens,19,18,323060.5263157895
4,AIRPORT LA GUARDIA,Queens,8,8,454250.0
4,BREEZY POINT,Queens,6,1,396666.6666666667
4,QUEENS-UNKNOWN,Queens,1,1,325000.0
5,GREAT KILLS,Staten Island,734,724,421152.05177111714
5,NEW SPRINGVILLE,Staten Island,496,486,707751.9052419355
5,MARINERS HARBOR,Staten Island,450,414,272289.1488888889
5,BULLS HEAD,Staten Island,420,411,396468.64285714284
5,ARDEN HEIGHTS,Staten Island,387,379,299560.1834625323
5,WEST NEW BRIGHTON,Staten Island,387,368,321905.0723514212
5,ELTINGVILLE,Staten Island,307,302,409092.35504885996
5,PORT RICHMOND,Staten Island,306,291,289327.6405228758
5,MIDLAND BEACH,Staten Island,300,285,328186.4733333333
5,TOTTENVILLE,Staten Island,283,271,527323.0106007067
5,SOUTH BEACH,Staten Island,279,268,377313.4623655914
5,ROSEBANK,Staten Island,274,241,327039.78832116787
5,NEW BRIGHTON,Staten Island,247,218,278948.1133603239
5,CONCORD,Staten Island,217,200,268282.7004608295
5,WESTERLEIGH,Staten Island,210,207,384033.7380952381
5,ROSSVILLE,Staten Island,210,206,581161.5142857142
5,STAPLETON,Staten Island,191,170,261591.61256544502
5,ANNADALE,Staten Island,171,166,517767.69005847955
5,WOODROW,Staten Island,170,168,627289.594117647
5,MANOR HEIGHTS,Staten Island,160,155,430783.25625
5,WILLOWBROOK,Staten Island,159,157,423986.3962264151
5,CASTLETON CORNERS,Staten Island,159,156,497373.3710691824
5,NEW DORP,Staten Island,158,153,460740.64556962025
5,PRINCES BAY,Staten Island,149,141,641544.6979865772
5,HUGUENOT,Staten Island,141,141,526668.4255319149
5,GRANT CITY,Staten Island,140,134,409050.52142857143
5,GRASMERE,Staten Island,124,121,397126.3306451613
5,TRAVIS,Staten Island,121,112,315996.86776859505
5,OAKWOOD-BEACH,Staten Island,114,110,366098.2105263158
5,NEW DORP-BEACH,Staten Island,104,101,305374.60576923075
5,CLOVE LAKES,Staten Island,104,78,364860.91346153844
5,DONGAN HILLS,Staten Island,99,84,377640.8787878788
5,STAPLETON-CLIFTON,Staten Island,95,93,267570.64210526313
5,NEW DORP-HEIGHTS,Staten Island,78,77,418217.0512820513
5,TOMPKINSVILLE,Staten Island,76,75,306250.65789473685
5,PORT IVORY,Staten Island,72,70,253921.91666666666
5,SILVER LAKE,Staten Island,71,71,532644.647887324
5,GRYMES HILL,Staten Island,69,56,873452.8115942029
5,SUNNYSIDE,Staten Island,63,62,375792.49206349207
5,PLEASANT PLAINS,Staten Island,60,59,860156.0333333333
5,RICHMONDTOWN,Staten Island,57,56,518402.56140350876
5,DONGAN HILLS-COLONY,Staten Island,55,55,700752.9818181818
5,GREAT KILLS-BAY TERRACE,Staten Island,52,43,350694.5576923077
5,CONCORD-FOX HILLS,Staten Island,49,30,272245.7755102041
5,ARROCHAR,Staten Island,48,46,394086.125
5,ROSSVILLE-CHARLESTON,Staten Island,44,40,509108.9772727273
5,LIVINGSTON,Staten Island,43,37,297520.37209302327
5,TODT HILL,Staten Island,42,41,1173126.5
5,OAKWOOD,Staten Island,42,41,424577.95238095237
5,NEW BRIGHTON-ST. GEORGE,Staten Island,41,23,865281.7804878049
5,ARROCHAR-SHORE ACRES,Staten Island,22,14,240346.5909090909
5,EMERSON HILL,Staten Island,15,15,831767.4
5,ROSSVILLE-RICHMOND VALLEY,Staten Island,12,12,820978.6666666666
5,RICHMONDTOWN-LIGHTHS HILL,Staten Island,11,11,747695.4545454546
5,BLOOMFIELD,Staten Island,9,8,11710784.888888888
5,ROSSVILLE-PORT MOBIL,Staten Island,5,4,719000.0
5,FRESH KILLS,Staten Island,2,2,677500.0
5,DONGAN HILLS-OLD TOWN,Staten Island,1,1,132000.0
