borough_id,nbhd,name,transaction_volume,property_count,average_sale_price
1,MIDTOWN WEST,Manhattan,3688,877,1645497.3457158352
1,UPPER EAST SIDE (59-79),Manhattan,1742,870,2406067.1486796783
1,UPPER WEST SIDE (59-79),Manhattan,1532,879,2140899.6161879897
1,UPPER EAST SIDE (79-96),Manhattan,1399,756,2323076.0550393136
1,MIDTOWN EAST,Manhattan,967,420,1340503.4850051706
1,CHELSEA,Manhattan,811,604,3059139.499383477
1,UPPER WEST SIDE (79-96),Manhattan,772,429,1830317.041450777
1,HARLEM-CENTRAL,Manhattan,724,609,1135993.549723757
1,GREENWICH VILLAGE-CENTRAL,Manhattan,568,245,2034355.1830985916
1,GREENWICH VILLAGE-WEST,Manhattan,565,354,3155200.6955752214
1,MURRAY HILL,Manhattan,556,318,2778951.205035971
1,TRIBECA,Manhattan,477,441,3145045.870020964
1,GRAMERCY,Manhattan,471,210,1451012.974522293
1,FINANCIAL,Manhattan,400,382,4131570.2225
1,UPPER WEST SIDE (96-116),Manhattan,399,229,2540708.997493734
1,FLATIRON,Manhattan,325,223,5370907.353846154
1,LOWER EAST SIDE,Manhattan,313,150,1651763.1533546327
1,SOHO,Manhattan,286,236,10314250.132867133
1,CLINTON,Manhattan,251,219,2413887.06374502
1,WASHINGTON HEIGHTS UPPER,Manhattan,222,92,935938.6576576576
1,KIPS BAY,Manhattan,212,164,1355850.108490566
1,CIVIC CENTER,Manhattan,211,194,2907999.113744076
1,MANHATTAN VALLEY,Manhattan,196,163,2360492.2653061226
1,HARLEM-EAST,Manhattan,191,127,984059.6858638744
1,FASHION,Manhattan,172,148,9371587.877906976
1,EAST VILLAGE,Manhattan,160,119,2199274.4125
1,WASHINGTON HEIGHTS LOWER,Manhattan,146,106,2814629.006849315
1,MIDTOWN CBD,Manhattan,145,112,13776525.83448276
1,HARLEM-UPPER,Manhattan,135,126,1674153.3333333333
1,UPPER EAST SIDE (96-110),Manhattan,121,97,1812696.5950413223
1,CHINATOWN,Manhattan,99,98,2866607.585858586
1,INWOOD,Manhattan,89,55,1298752.6629213484
1,ALPHABET CITY,Manhattan,85,72,1761290.5647058825
1,MORNINGSIDE HEIGHTS,Manhattan,63,15,541069.1587301587
1,SOUTHBRIDGE,Manhattan,54,52,19277903.722222224
1,LITTLE ITALY,Manhattan,44,39,5491140.613636363
1,HARLEM-WEST,Manhattan,39,35,3361161.1794871795
1,JAVITS CENTER,Manhattan,27,14,4583549.407407408
1,MANHATTAN-UNKNOWN,Manhattan,1,1,26893000.0
2,RIVERDALE, Bronx,389,162,398902.60154241644
2,MORRISANIA/LONGWOOD, Bronx,263,157,1190872.6958174906
2,PARKCHESTER, Bronx,213,197,171819.92018779344
2,BAYCHESTER, Bronx,190,165,663296.7578947368
2,WILLIAMSBRIDGE, Bronx,183,170,578115.6120218579
2,SOUNDVIEW, Bronx,177,161,433389.0508474576
2,THROGS NECK, Bronx,136,133,378227.17647058825
2,SCHUYLERVILLE/PELHAM BAY, Bronx,131,114,623092.4503816793
2,MORRIS PARK/VAN NEST, Bronx,120,110,482452.4583333333
2,KINGSBRIDGE/JEROME PARK, Bronx,119,75,600098.1932773109
2,BRONXDALE, Bronx,112,95,544335.3035714285
2,BEDFORD PARK/NORWOOD, Bronx,109,93,1294892.5963302753
2,HIGHBRIDGE/MORRIS HEIGHTS, Bronx,105,76,2240990.2952380953
2,MELROSE/CONCOURSE, Bronx,101,77,1038576.1683168317
2,WAKEFIELD, Bronx,96,89,507491.5
2,MOTT HAVEN/PORT MORRIS, Bronx,76,64,2706320.75
2,PELHAM PARKWAY NORTH, Bronx,74,72,416625.85135135136
2,WESTCHESTER, Bronx,68,66,624417.6176470588
2,COUNTRY CLUB, Bronx,67,64,411553.6567164179
2,CASTLE HILL/UNIONPORT, Bronx,67,60,871827.5373134328
2,EAST TREMONT, Bronx,67,59,504825.4029850746
2,KINGSBRIDGE HTS/UNIV HTS, Bronx,66,37,1086206.7727272727
2,FORDHAM, Bronx,56,49,1660696.142857143
2,MOUNT HOPE/MOUNT EDEN, Bronx,54,47,1955761.1851851852
2,PELHAM PARKWAY SOUTH, Bronx,53,44,1944318.6226415094
2,BELMONT, Bronx,47,46,1562039.085106383
2,CITY ISLAND, Bronx,40,37,337082.475
2,WOODLAWN, Bronx,40,32,320540.425
2,PELHAM GARDENS, Bronx,30,30,840006.0666666667
2,FIELDSTON, Bronx,30,26,972839.8666666667
2,HUNTS POINT, Bronx,27,24,1630254.4814814816
2,BATHGATE, Bronx,24,24,1066326.6666666667
2,CROTONA PARK, Bronx,24,23,1074615.0833333333
2,VAN CORTLANDT PARK, Bronx,4,1,179687.5
2,CO-OP CITY, Bronx,3,3,290816.6666666667
2,BRONX PARK, Bronx,2,2,1003750.0
2,BRONX-UNKNOWN, Bronx,1,1,2060000.0
2,CITY ISLAND-PELHAM STRIP, Bronx,1,1,635000.0
3,BEDFORD STUYVESANT,Brooklyn,1016,947,600513.1791338583
3,PARK SLOPE,Brooklyn,565,462,1127010.5380530974
3,BUSHWICK,Brooklyn,543,500,504507.3535911602
3,CROWN HEIGHTS,Brooklyn,521,476,725523.3531669866
3,BOROUGH PARK,Brooklyn,508,497,766320.4724409449
3,BAY RIDGE,Brooklyn,508,374,639059.6751968504
3,EAST NEW YORK,Brooklyn,482,454,346031.9460580913
3,WILLIAMSBURG-NORTH,Brooklyn,475,471,1837639.6315789474
3,SUNSET PARK,Brooklyn,423,402,740309.0591016548
3,SHEEPSHEAD BAY,Brooklyn,387,279,394435.677002584
3,GREENPOINT,Brooklyn,359,357,941808.1169916434
3,GRAVESEND,Brooklyn,348,334,610784.2873563218
3,BROOKLYN HEIGHTS,Brooklyn,346,190,1703092.583815029
3,CANARSIE,Brooklyn,329,307,786642.6048632219
3,FLATBUSH-EAST,Brooklyn,323,297,504297.3250773994
3,FLATBUSH-CENTRAL,Brooklyn,320,262,960705.796875
3,WILLIAMSBURG-EAST,Brooklyn,299,293,1079994.3578595319
3,OCEAN PARKWAY-NORTH,Brooklyn,287,222,715035.6655052265
3,BENSONHURST,Brooklyn,284,279,775366.3556338028
3,CLINTON HILL,Brooklyn,272,180,978084.5514705882
3,MIDWOOD,Brooklyn,259,216,789641.7065637065
3,OCEAN HILL,Brooklyn,254,232,472613.85039370076
3,PROSPECT HEIGHTS,Brooklyn,235,151,864210.1787234043
3,DOWNTOWN-FULTON FERRY,Brooklyn,231,229,1300975.0
3,DOWNTOWN-METROTECH,Brooklyn,219,188,853229.5114155251
3,CYPRESS HILLS,Brooklyn,209,182,553536.971291866
3,MADISON,Brooklyn,201,169,765735.6069651741
3,OCEAN PARKWAY-SOUTH,Brooklyn,194,150,719527.5360824743
3,MARINE PARK,Brooklyn,193,165,451479.10880829016
3,DYKER HEIGHTS,Brooklyn,188,186,672804.2925531915
3,FLATBUSH-NORTH,Brooklyn,174,140,656511.908045977
3,BRIGHTON BEACH,Brooklyn,168,113,577238.6964285715
3,BATH BEACH,Brooklyn,163,150,655984.0306748466
3,FORT GREENE,Brooklyn,161,111,922796.9378881988
3,PARK SLOPE SOUTH,Brooklyn,156,152,845195.141025641
3,WILLIAMSBURG-SOUTH,Brooklyn,153,143,2328850.098039216
3,CARROLL GARDENS,Brooklyn,152,145,1336680.769736842
3,GOWANUS,Brooklyn,147,145,1180144.0136054421
3,BOERUM HILL,Brooklyn,129,122,1427219.534883721
3,WINDSOR TERRACE,Brooklyn,128,92,684391.5078125
3,COBBLE HILL,Brooklyn,127,104,1170473.598425197
3,WILLIAMSBURG-CENTRAL,Brooklyn,122,116,551690.7131147541
3,OLD MILL BASIN,Brooklyn,117,110,379604.13675213675
3,CONEY ISLAND,Brooklyn,114,59,374295.5438596491
3,FLATBUSH-LEFFERTS GARDEN,Brooklyn,105,94,711639.0380952382
3,KENSINGTON,Brooklyn,95,64,702216.9789473685
3,BROWNSVILLE,Brooklyn,90,88,468750.4
3,FLATLANDS,Brooklyn,88,71,441253.5227272727
3,GERRITSEN BEACH,Brooklyn,63,60,341929.5396825397
3,DOWNTOWN-FULTON MALL,Brooklyn,63,41,2893854.3174603176
3,WYCKOFF HEIGHTS,Brooklyn,56,54,529358.3928571428
3,RED HOOK,Brooklyn,56,53,1213213.2857142857
3,BERGEN BEACH,Brooklyn,55,55,525090.3090909091
3,COBBLE HILL-WEST,Brooklyn,54,54,893357.4629629629
3,MILL BASIN,Brooklyn,41,41,7447012.195121951
3,MANHATTAN BEACH,Brooklyn,38,38,1067334.3684210526
3,SPRING CREEK,Brooklyn,27,27,416479.4074074074
3,SEAGATE,Brooklyn,21,21,541895.9047619047
3,BUSH TERMINAL,Brooklyn,20,20,818840.0
3,NAVY YARD,Brooklyn,18,18,1059655.4444444445
3,BROOKLYN-UNKNOWN,Brooklyn,1,1,260000.0
4,FLUSHING-NORTH,Queens,1576,1270,553165.0387055838
4,FOREST HILLS,Queens,721,334,483186.1151178918
4,BAYSIDE,Queens,648,480,533065.5462962963
4,ASTORIA,Queens,615,494,777273.281300813
4,JACKSON HEIGHTS,Queens,574,383,381494.95644599304
4,FLUSHING-SOUTH,Queens,476,322,392185.0714285714
4,LONG ISLAND CITY,Queens,473,442,2741264.4841437633
4,ELMHURST,Queens,452,366,533801.7013274336
4,REGO PARK,Queens,389,192,379385.15424164524
4,SO. JAMAICA-BAISLEY PARK,Queens,376,324,326541.91489361704
4,ST. ALBANS,Queens,355,305,318892.2309859155
4,RICHMOND HILL,Queens,351,333,424700.8376068376
4,QUEENS VILLAGE,Queens,328,272,351898.5731707317
4,CORONA,Queens,324,286,532564.1203703703
4,SOUTH JAMAICA,Queens,306,269,291481.2450980392
4,HOWARD BEACH,Queens,280,198,315070.42142857146
4,WOODSIDE,Queens,276,163,443852.07608695654
4,SPRINGFIELD GARDENS,Queens,269,238,582092.063197026
4,OAKLAND GARDENS,Queens,261,121,343075.1264367816
4,GLEN OAKS,Queens,260,50,352790.8807692308
4,SOUTH OZONE PARK,Queens,249,232,362549.7269076305
4,MASPETH,Queens,246,223,816952.174796748
4,MIDDLE VILLAGE,Queens,244,239,535674.5204918033
4,RIDGEWOOD,Queens,237,227,675317.05907173
4,HOLLIS,Queens,237,219,379790.5105485232
4,OZONE PARK,Queens,230,221,622549.8739130435
4,COLLEGE POINT,Queens,228,225,578394.8596491228
4,ROSEDALE,Queens,219,203,431723.61187214614
4,GLENDALE,Queens,216,176,436252.31944444444
4,WOODHAVEN,Queens,209,197,418168.995215311
