borough_id,nbhd,name,transaction_volume,property_count,average_sale_price
1,MIDTOWN WEST,Manhattan,3704,808,1137497.9956803457
1,UPPER EAST SIDE (59-79),Manhattan,1468,761,2431474.89373297
1,UPPER WEST SIDE (59-79),Manhattan,1423,870,2214693.80604357
1,UPPER EAST SIDE (79-96),Manhattan,1196,684,1978708.2006688963
1,MIDTOWN EAST,Manhattan,820,382,1628079.5853658537
1,CHELSEA,Manhattan,702,493,4590677.263532763
1,UPPER WEST SIDE (79-96),Manhattan,693,389,1962153.1616161617
1,HARLEM-CENTRAL,Manhattan,597,543,1009285.594639866
1,GREENWICH VILLAGE-CENTRAL,Manhattan,541,221,1779126.6358595195
1,MURRAY HILL,Manhattan,484,269,1257274.6549586777
1,TRIBECA,Manhattan,466,451,2187203.2231759657
1,GREENWICH VILLAGE-WEST,Manhattan,430,278,3143405.0209302325
1,FINANCIAL,Manhattan,420,405,3509849.5285714287
1,GRAMERCY,Manhattan,347,119,1473216.0893371757
1,FLATIRON,Manhattan,321,216,7040187.869158879
1,UPPER WEST SIDE (96-116),Manhattan,317,183,1183058.70977918
1,SOHO,Manhattan,289,252,2996632.7024221453
1,KIPS BAY,Manhattan,287,221,2986821.662020906
1,CLINTON,Manhattan,267,236,2911037.8651685393
1,LOWER EAST SIDE,Manhattan,243,110,1216598.0699588477
1,EAST VILLAGE,Manhattan,162,132,2095586.2777777778
1,HARLEM-EAST,Manhattan,159,119,911893.5094339623
1,FASHION,Manhattan,151,131,6192233.754966888
1,WASHINGTON HEIGHTS UPPER,Manhattan,151,56,661005.4569536424
1,MANHATTAN VALLEY,Manhattan,137,120,1011595.5766423357
1,MIDTOWN CBD,Manhattan,137,102,20467297.313868612
1,WASHINGTON HEIGHTS LOWER,Manhattan,125,102,1367962.272
1,CIVIC CENTER,Manhattan,102,80,4206559.117647059
1,ALPHABET CITY,Manhattan,95,82,1992762.8736842105
1,HARLEM-UPPER,Manhattan,76,61,1240583.7631578948
1,CHINATOWN,Manhattan,63,61,1895170.9206349207
1,INWOOD,Manhattan,63,37,756971.3492063492
1,MORNINGSIDE HEIGHTS,Manhattan,44,14,551851.0681818182
1,UPPER EAST SIDE (96-110),Manhattan,39,21,2183511.564102564
1,JAVITS CENTER,Manhattan,39,17,3434572.7435897435
1,LITTLE ITALY,Manhattan,25,24,3902279.72
1,HARLEM-WEST,Manhattan,18,16,1191386.388888889
1,SOUTHBRIDGE,Manhattan,17,16,6429458.823529412
2,RIVERDALE, Bronx,323,139,426830.2260061919
2,SOUNDVIEW, Bronx,223,186,516422.65470852016
2,BAYCHESTER, Bronx,212,200,351046.7688679245
2,WILLIAMSBRIDGE, Bronx,195,174,570300.1435897436
2,PARKCHESTER, Bronx,180,167,185780.66666666666
2,MORRISANIA/LONGWOOD, Bronx,156,139,708347.9871794871
2,THROGS NECK, Bronx,148,144,606678.6283783783
2,KINGSBRIDGE/JEROME PARK, Bronx,128,89,638999.890625
2,WAKEFIELD, Bronx,111,106,587781.4684684685
2,BRONXDALE, Bronx,109,93,351088.44036697247
2,SCHUYLERVILLE/PELHAM BAY, Bronx,107,93,388272.8598130841
2,MELROSE/CONCOURSE, Bronx,102,71,1075878.7156862745
2,MORRIS PARK/VAN NEST, Bronx,100,97,520322.2
2,BEDFORD PARK/NORWOOD, Bronx,94,74,1111761.8829787234
2,CASTLE HILL/UNIONPORT, Bronx,88,83,511582.2727272727
2,PELHAM PARKWAY NORTH, Bronx,74,73,426662.3378378378
2,WESTCHESTER, Bronx,70,62,450641.97142857144
2,COUNTRY CLUB, Bronx,64,59,360990.78125
2,MOTT HAVEN/PORT MORRIS, Bronx,62,52,1665365.9032258065
2,HIGHBRIDGE/MORRIS HEIGHTS, Bronx,61,50,1545674.4918032787
2,PELHAM PARKWAY SOUTH, Bronx,60,52,1235485.9333333333
2,EAST TREMONT, Bronx,56,55,1453622.1964285714
2,KINGSBRIDGE HTS/UNIV HTS, Bronx,50,29,529751.14
2,BELMONT, Bronx,46,42,665825.0217391305
2,PELHAM GARDENS, Bronx,40,40,444688.4
