Neighborhood_ID,Neighborhood,Crime_Rate,Year
226,Rugby,8714,2008
288,Willowbrook,1596,2008
273,Mount Hope,17229,2008
15,University Heights,12107,2008
1,Wakefield,6197,2008
121,East Village,9641,2008
115,Lincoln Square,15614,2008
90,Ocean Hill,15801,2008
63,Bushwick,25053,2008
254,Richmond Town,867,2008
47,Bay Ridge,8835,2008
44,Concourse,17425,2008
75,Canarsie,8932,2008
109,East Harlem,38191,2008
39,Schuylerville,5065,2008
117,Midtown,26308,2008
132,Astoria,9942,2008
14,Bedford Park,10247,2008
133,Woodside,9468,2008
150,Ozone Park,9352,2008
122,Lower East Side,11059,2008
20,High  Bridge,17653,2008
144,East Elmhurst,5654,2008
22,Mott Haven,19959,2008
253,Midtown South,30676,2008
234,Dongan Hills,1803,2008
106,Hamilton Heights,24074,2008
183,Murray Hill,3988,2008
24,Longwood,10839,2008
80,Bath Beach,8087,2008
284,Weeksville,18701,2008
16,Morris Heights,7001,2008
204,West Brighton,2674,2008
31,Parkchester,8522,2008
146,Ridgewood,14494,2008
224,Ditmas Park,6896,2008
64,Bedford Stuyvesant,27834,2008
177,Beechhurst,1475,2008
270,Claremont Village,12702,2008
285,Broadway Junction,9177,2008
171,Cambria Heights,3810,2008
127,Manhattan Valley,14684,2008
94,Prospect Park South,9789,2008
153,Whitestone,1995,2008
263,New Lots,12779,2008
7,Marble Hill,6090,2008
62,Williamsburg,7589,2008
61,Brownsville,22601,2008
72,Cypress Hills,5496,2008
145,Maspeth,4073,2008
114,Upper West Side,12289,2008
18,East Tremont,14306,2008
134,Jackson Heights,12259,2008
168,St. Albans,6111,2008
108,Central Harlem,32947,2008
42,Olinville,9368,2008
230,Arlington,2791,2008
88,Boerum Hill,8137,2008
135,Elmhurst,10921,2008
120,Greenwich Village,10319,2008
48,Bensonhurst,9709,2008
279,Flatiron,22551,2008
116,Clinton,19841,2008
225,Wingate,8650,2008
198,North Corona,8534,2008
142,Long Island City,4491,2008
200,St. George,3469,2008
266,Jamaica Hills,3712,2008
99,South Side,4065,2008
91,City Line,9695,2008
296,Richmond Valley,392,2008
58,Kensington,5936,2008
45,Unionport,5607,2008
129,Gramercy,10710,2008
21,Melrose,12801,2008
125,Soho,7620,2008
26,Morrisania,12874,2008
60,Prospect Heights,12145,2008
152,College Point,3736,2008
251,Noho,10675,2008
86,Sea Gate,2593,2008
81,Borough Park,9149,2008
89,Prospect Lefferts Gardens,16682,2008
65,Brooklyn Heights,3323,2008
151,South Ozone Park,10292,2008
104,Washington Heights,18729,2008
17,Fordham,27308,2008
137,South Corona,4612,2008
265,Mill Basin,3798,2008
262,Remsen Village,7287,2008
220,Tottenville,1749,2008
27,Soundview,18662,2008
192,Lefrak City,8745,2008
211,Castleton Corners,987,2008
161,Fresh Meadows,2527,2008
107,Manhattanville,11571,2008
87,Downtown,8106,2008
166,Hollis,5147,2008
176,Steinway,3160,2008
105,Inwood,8667,2008
276,Turtle Bay,4289,2008
85,Clinton Hill,7987,2008
236,Grant City,2880,2008
277,Tudor City,4315,2008
98,North Side,5642,2008
2,Co-op City,4625,2008
186,Jamaica Estates,2967,2008
96,Spring Creek,3226,2008
281,Blissville,2750,2008
52,Brighton Beach,10003,2008
163,Jamaica Center,11092,2008
57,East Flatbush,6994,2008
35,Belmont,9754,2008
271,Concourse Village,14860,2008
274,Sutton Place,12279,2008
51,Gravesend,7455,2008
97,East Williamsburg,16047,2008
131,Financial District,8719,2008
252,Civic Center,5102,2008
298,Highland Park,5327,2008
138,Forest Hills,3570,2008
259,Randall Manor,808,2008
10,Williamsbridge,7949,2008
268,Pomonok,4366,2008
73,East New York,11823,2008
201,New Brighton,2574,2008
56,Crown Heights,12586,2008
141,Downtown Flushing,11203,2008
93,Midwood,5793,2008
12,Pelham Parkway,6563,2008
167,South Jamaica,13302,2008
83,Gerritsen Beach,3778,2008
173,Far Rockaway,9242,2008
49,Sunset Park,18319,2008
9,Norwood,9229,2008
112,Lenox Hill,6260,2008
246,Heartland Village,4630,2008
70,Fort Greene,6257,2008
100,Navy Yard,1407,2008
280,Sunnyside Gardens,7832,2008
191,Laurelton,3090,2008
292,Homecrest,6403,2008
95,Georgetown,2894,2008
179,Edgemere,2069,2008
169,Rochdale,14759,2008
11,Baychester,3018,2008
272,Mount Eden,8580,2008
110,Upper East Side,4378,2008
124,Little Italy,4867,2008
189,Ravenswood,7962,2008
275,Hunters Point,3023,2008
126,West Village,15625,2008
38,Pelham Bay,1908,2008
53,Sheepshead Bay,5474,2008
54,Manhattan Terrace,3683,2008
147,Glendale,3521,2008
4,Fieldston,829,2008
23,Port Morris,814,2008
43,Pelham Gardens,3261,2008
128,Morningside Heights,10020,2008
250,Carnegie Hill,7647,2008
76,Flatlands,8854,2008
264,Paerdegat Basin,2857,2008
155,Auburndale,3395,2008
103,Chinatown,7664,2008
195,Somerville,1488,2008
25,Hunts Point,5276,2008
187,Queensboro Hill,3201,2008
37,North Riverdale,1206,2008
74,Starrett City,5148,2008
154,Bayside,4665,2008
41,Castle Hill,4150,2008
207,South Beach,593,2008
283,Vinegar Hill,2118,2008
68,Red Hook,2790,2008
29,Throgs Neck,1217,2008
123,Tribeca,2399,2008
140,Richmond Hill,12013,2008
180,Arverne,2143,2008
78,Manhattan Beach,1000,2008
149,Woodhaven,7318,2008
208,Port Richmond,4356,2008
172,Rosedale,2452,2008
162,Briarwood,5477,2008
113,Roosevelt Island,1687,2008
79,Coney Island,7389,2008
50,Greenpoint,5366,2008
8,Woodlawn,2676,2008
258,Emerson Hill,364,2008
261,Elm Park,1974,2008
216,Great Kills,2423,2008
229,Graniteville,2442,2008
19,West Farms,12667,2008
197,Bellaire,3042,2008
202,Stapleton,2057,2008
6,Kingsbridge,7317,2008
71,Park Slope,6008,2008
101,Ocean Parkway,6074,2008
293,Middle Village,2486,2008
245,Greenridge,1193,2008
217,Eltingville,1932,2008
165,Queens Village,4362,2008
157,Douglaston,1091,2008
33,Van Nest,7262,2008
185,Holliswood,1956,2008
267,Utopia,1033,2008
170,Springfield Gardens,5697,2008
84,Marine Park,3956,2008
297,Malba,844,2008
210,Port Ivory,659,2008
231,Arrochar,1351,2008
249,Bulls Head,2104,2008
238,Bay Terrace,992,2008
148,Rego Park,5470,2008
111,Yorkville,5442,2008
214,New Dorp,1605,2008
218,Annadale,795,2008
34,Morris Park,2421,2008
46,Edenwald,6519,2008
221,Tompkinsville,2327,2008
32,Westchester Square,3652,2008
55,Flatbush,9052,2008
5,Riverdale,990,2008
299,Madison,4220,2008
260,Howland Hook,57,2008
160,Kew Gardens Hills,3554,2008
244,Arden Heights,1712,2008
237,New Dorp Beach,1110,2008
59,Windsor Terrace,4225,2008
240,Pleasant Plains,533,2008
190,Lindenwood,2853,2008
