Neighborhood_ID,Neighborhood,Crime_Rate,Year
163,Jamaica Center,10723,2007
256,Clifton,1147,2007
27,Soundview,20070,2007
271,Concourse Village,14875,2007
112,Lenox Hill,7067,2007
284,Weeksville,19214,2007
56,Crown Heights,14473,2007
63,Bushwick,24488,2007
272,Mount Eden,7534,2007
298,Highland Park,5270,2007
24,Longwood,11208,2007
267,Utopia,975,2007
116,Clinton,20042,2007
253,Midtown South,32311,2007
22,Mott Haven,20546,2007
11,Baychester,2705,2007
38,Pelham Bay,1752,2007
18,East Tremont,16355,2007
96,Spring Creek,3426,2007
73,East New York,11756,2007
187,Queensboro Hill,3379,2007
15,University Heights,12095,2007
151,South Ozone Park,10919,2007
126,West Village,15656,2007
97,East Williamsburg,14536,2007
152,College Point,3215,2007
2,Co-op City,4825,2007
64,Bedford Stuyvesant,27717,2007
220,Tottenville,4563,2007
133,Woodside,9583,2007
263,New Lots,13050,2007
173,Far Rockaway,10056,2007
106,Hamilton Heights,23863,2007
48,Bensonhurst,9375,2007
280,Sunnyside Gardens,8091,2007
109,East Harlem,37427,2007
251,Noho,10159,2007
138,Forest Hills,4261,2007
239,Huguenot,952,2007
279,Flatiron,23334,2007
120,Greenwich Village,10580,2007
8,Woodlawn,2611,2007
273,Mount Hope,17082,2007
274,Sutton Place,12385,2007
19,West Farms,15016,2007
117,Midtown,26256,2007
20,High  Bridge,17114,2007
108,Central Harlem,32337,2007
197,Bellaire,3553,2007
1,Wakefield,6023,2007
192,Lefrak City,8466,2007
12,Pelham Parkway,6819,2007
209,Mariner's Harbor,1230,2007
32,Westchester Square,3553,2007
16,Morris Heights,7036,2007
80,Bath Beach,8669,2007
49,Sunset Park,17805,2007
140,Richmond Hill,12466,2007
6,Kingsbridge,7403,2007
145,Maspeth,4083,2007
25,Hunts Point,5255,2007
35,Belmont,10173,2007
26,Morrisania,11906,2007
31,Parkchester,8083,2007
225,Wingate,8706,2007
122,Lower East Side,11231,2007
150,Ozone Park,10111,2007
65,Brooklyn Heights,3805,2007
9,Norwood,9006,2007
292,Homecrest,6451,2007
47,Bay Ridge,8700,2007
10,Williamsbridge,7772,2007
41,Castle Hill,4318,2007
230,Arlington,2461,2007
91,City Line,9562,2007
69,Gowanus,5251,2007
107,Manhattanville,11527,2007
104,Washington Heights,19114,2007
246,Heartland Village,4667,2007
46,Edenwald,6125,2007
296,Richmond Valley,528,2007
169,Rochdale,13182,2007
127,Manhattan Valley,14933,2007
250,Carnegie Hill,8571,2007
131,Financial District,9078,2007
72,Cypress Hills,5371,2007
90,Ocean Hill,15349,2007
149,Woodhaven,6775,2007
139,Kew Gardens,2710,2007
44,Concourse,19083,2007
28,Clason Point,1300,2007
17,Fordham,26881,2007
103,Chinatown,7361,2007
144,East Elmhurst,6105,2007
265,Mill Basin,3728,2007
