Neighborhood_ID,Neighborhood,Crime_Rate,Year
64,Bedford Stuyvesant,24954,2006
27,Soundview,18075,2006
117,Midtown,26188,2006
33,Van Nest,6842,2006
109,East Harlem,34429,2006
128,Morningside Heights,10389,2006
55,Flatbush,9327,2006
198,North Corona,7943,2006
132,Astoria,10060,2006
263,New Lots,12304,2006
18,East Tremont,12723,2006
104,Washington Heights,17197,2006
216,Great Kills,2215,2006
238,Bay Terrace,1060,2006
89,Prospect Lefferts Gardens,16612,2006
115,Lincoln Square,15464,2006
19,West Farms,11528,2006
168,St. Albans,5750,2006
94,Prospect Park South,11008,2006
90,Ocean Hill,13478,2006
163,Jamaica Center,10209,2006
253,Midtown South,32163,2006
44,Concourse,16935,2006
10,Williamsbridge,6608,2006
147,Glendale,3284,2006
200,St. George,3612,2006
289,Sandy Ground,897,2006
17,Fordham,23094,2006
16,Morris Heights,6223,2006
51,Gravesend,7337,2006
204,West Brighton,3208,2006
63,Bushwick,24846,2006
279,Flatiron,21290,2006
35,Belmont,8476,2006
127,Manhattan Valley,14216,2006
285,Broadway Junction,7675,2006
210,Port Ivory,677,2006
167,South Jamaica,11571,2006
189,Ravenswood,8091,2006
273,Mount Hope,15617,2006
113,Roosevelt Island,2024,2006
271,Concourse Village,14314,2006
141,Downtown Flushing,12218,2006
138,Forest Hills,4320,2006
15,University Heights,11771,2006
151,South Ozone Park,9666,2006
169,Rochdale,13716,2006
107,Manhattanville,11288,2006
81,Borough Park,9472,2006
20,High  Bridge,17222,2006
106,Hamilton Heights,22528,2006
162,Briarwood,5465,2006
22,Mott Haven,20457,2006
103,Chinatown,6480,2006
140,Richmond Hill,11445,2006
146,Ridgewood,15332,2006
133,Woodside,8823,2006
224,Ditmas Park,6335,2006
145,Maspeth,4068,2006
74,Starrett City,4930,2006
58,Kensington,5667,2006
173,Far Rockaway,9497,2006
7,Marble Hill,4980,2006
160,Kew Gardens Hills,3858,2006
126,West Village,15417,2006
96,Spring Creek,3109,2006
60,Prospect Heights,12108,2006
135,Elmhurst,11570,2006
284,Weeksville,17573,2006
73,East New York,11299,2006
286,Dumbo,1136,2006
225,Wingate,8936,2006
272,Mount Eden,7964,2006
101,Ocean Parkway,6388,2006
24,Longwood,9571,2006
226,Rugby,8929,2006
57,East Flatbush,7740,2006
249,Bulls Head,1677,2006
274,Sutton Place,12036,2006
52,Brighton Beach,9788,2006
108,Central Harlem,29520,2006
71,Park Slope,5975,2006
111,Yorkville,6190,2006
38,Pelham Bay,1585,2006
155,Auburndale,3616,2006
6,Kingsbridge,6122,2006
112,Lenox Hill,7167,2006
165,Queens Village,4009,2006
72,Cypress Hills,4739,2006
39,Schuylerville,5048,2006
29,Throgs Neck,1145,2006
121,East Village,9237,2006
79,Coney Island,7094,2006
82,Dyker Heights,5138,2006
87,Downtown,8344,2006
237,New Dorp Beach,1241,2006
14,Bedford Park,10083,2006
265,Mill Basin,3742,2006
269,Astoria Heights,2489,2006
129,Gramercy,10167,2006
116,Clinton,20957,2006
205,Grymes Hill,1910,2006
122,Lower East Side,9583,2006
152,College Point,3134,2006
56,Crown Heights,12587,2006
93,Midwood,5908,2006
254,Richmond Town,801,2006
75,Canarsie,8871,2006
252,Civic Center,5040,2006
164,Oakland Gardens,2855,2006
261,Elm Park,2089,2006
9,Norwood,8726,2006
131,Financial District,8362,2006
176,Steinway,3215,2006
85,Clinton Hill,7867,2006
217,Eltingville,1716,2006
158,Glen Oaks,1912,2006
99,South Side,3811,2006
124,Little Italy,4360,2006
243,Rossville,1033,2006
97,East Williamsburg,14795,2006
246,Heartland Village,4293,2006
62,Williamsburg,7218,2006
192,Lefrak City,8036,2006
84,Marine Park,3508,2006
250,Carnegie Hill,8817,2006
172,Rosedale,2486,2006
91,City Line,8807,2006
47,Bay Ridge,8257,2006
2,Co-op City,4648,2006
299,Madison,4197,2006
67,Carroll Gardens,3192,2006
179,Edgemere,2236,2006
153,Whitestone,1941,2006
50,Greenpoint,5720,2006
65,Brooklyn Heights,2924,2006
80,Bath Beach,8487,2006
191,Laurelton,2962,2006
26,Morrisania,10678,2006
54,Manhattan Terrace,3298,2006
236,Grant City,3470,2006
298,Highland Park,4704,2006
156,Little Neck,878,2006
159,Bellerose,1260,2006
137,South Corona,4572,2006
78,Manhattan Beach,919,2006
144,East Elmhurst,5301,2006
120,Greenwich Village,10271,2006
228,Westerleigh,1751,2006
61,Brownsville,21774,2006
49,Sunset Park,18031,2006
251,Noho,9910,2006
187,Queensboro Hill,3325,2006
292,Homecrest,5952,2006
247,Chelsea,318,2006
86,Sea Gate,2841,2006
88,Boerum Hill,7700,2006
214,New Dorp,1563,2006
32,Westchester Square,3347,2006
149,Woodhaven,6606,2006
45,Unionport,4694,2006
222,Silver Lake,580,2006
5,Riverdale,1137,2006
70,Fort Greene,5731,2006
66,Cobble Hill,2355,2006
262,Remsen Village,7832,2006
270,Claremont Village,13855,2006
280,Sunnyside Gardens,7804,2006
208,Port Richmond,3782,2006
48,Bensonhurst,10257,2006
150,Ozone Park,9455,2006
134,Jackson Heights,12193,2006
218,Annadale,788,2006
277,Tudor City,4205,2006
42,Olinville,8728,2006
180,Arverne,1379,2006
181,Seaside,3672,2006
114,Upper West Side,11808,2006
59,Windsor Terrace,3766,2006
188,Hillcrest,1739,2006
105,Inwood,8523,2006
31,Parkchester,7609,2006
183,Murray Hill,3766,2006
166,Hollis,4760,2006
227,Park Hill,2330,2006
125,Soho,6570,2006
41,Castle Hill,4355,2006
293,Middle Village,2452,2006
157,Douglaston,1180,2006
142,Long Island City,4865,2006
53,Sheepshead Bay,5601,2006
43,Pelham Gardens,3152,2006
230,Arlington,2531,2006
199,Forest Hills Gardens,2953,2006
266,Jamaica Hills,3940,2006
283,Vinegar Hill,1932,2006
186,Jamaica Estates,3581,2006
83,Gerritsen Beach,3528,2006
211,Castleton Corners,1139,2006
232,Grasmere,988,2006
21,Melrose,13302,2006
98,North Side,4497,2006
136,Howard Beach,1345,2006
161,Fresh Meadows,2438,2006
203,Rosebank,613,2006
100,Navy Yard,1543,2006
202,Stapleton,2131,2006
68,Red Hook,2856,2006
8,Woodlawn,2758,2006
1,Wakefield,5429,2006
139,Kew Gardens,2786,2006
69,Gowanus,5626,2006
170,Springfield Gardens,4051,2006
229,Graniteville,2186,2006
76,Flatlands,8579,2006
234,Dongan Hills,1610,2006
231,Arrochar,1466,2006
287,Manor Heights,778,2006
154,Bayside,5332,2006
223,Sunnyside,486,2006
244,Arden Heights,1713,2006
276,Turtle Bay,4469,2006
194,Rockaway Park,1084,2006
3,Eastchester,1858,2006
268,Pomonok,5214,2006
264,Paerdegat Basin,3053,2006
25,Hunts Point,4667,2006
46,Edenwald,6218,2006
171,Cambria Heights,3926,2006
110,Upper East Side,4917,2006
288,Willowbrook,1336,2006
40,Edgewater Park,1443,2006
281,Blissville,2555,2006
95,Georgetown,3009,2006
102,Fort Hamilton,2843,2006
190,Lindenwood,3059,2006
275,Hunters Point,3177,2006
11,Baychester,3013,2006
34,Morris Park,2346,2006
177,Beechhurst,1403,2006
221,Tompkinsville,2123,2006
148,Rego Park,5390,2006
215,Oakwood,904,2006
195,Somerville,1562,2006
267,Utopia,1192,2006
12,Pelham Parkway,6232,2006
30,Country Club,1558,2006
185,Holliswood,2486,2006
37,North Riverdale,1210,2006
92,Bergen Beach,302,2006
13,City Island,611,2006
175,Breezy Point,145,2006
241,Butler Manor,376,2006
219,Woodrow,346,2006
278,Stuyvesant Town,1398,2006
197,Bellaire,3466,2006
240,Pleasant Plains,500,2006
123,Tribeca,2860,2006
235,Midland Beach,1042,2006
209,Mariner's Harbor,1423,2006
259,Randall Manor,949,2006
296,Richmond Valley,494,2006
256,Clifton,920,2006
201,New Brighton,2229,2006
255,Shore Acres,858,2006
282,Fulton Ferry,657,2006
220,Tottenville,1779,2006
36,Spuyten Duyvil,866,2006
239,Huguenot,1122,2006
28,Clason Point,900,2006
245,Greenridge,1300,2006
4,Fieldston,956,2006
257,Concord,452,2006
130,Battery Park City,841,2006
297,Malba,882,2006
23,Port Morris,631,2006
295,Lighthouse Hill,162,2006
207,South Beach,415,2006
294,Prince's Bay,711,2006
233,Old Town,805,2006
213,Travis,203,2006
182,Neponsit,81,2006
77,Mill Island,752,2006
248,Bloomfield,286,2006
196,Brookville,1409,2006
184,Floral Park,1178,2006
212,New Springville,842,2006
258,Emerson Hill,357,2006
290,Egbertville,146,2006
174,Broad Channel,368,2006
193,Belle Harbor,227,2006
260,Howland Hook,42,2006
206,Todt Hill,116,2006
242,Charleston,190,2006
291,Roxbury,64,2006
