Neighborhood_ID,Neighborhood,Crime_Rate
19,West Farms,11315.0
31,Parkchester,6658.0
117,Midtown,23172.0
122,Lower East Side,9152.0
251,Noho,9644.0
279,Flatiron,19710.0
108,Central Harlem,29759.0
220,Tottenville,1315.0
198,North Corona,8260.0
231,Arrochar,1271.0
253,Midtown South,28756.0
115,Lincoln Square,14965.0
109,East Harlem,36161.0
51,Gravesend,6389.0
63,Bushwick,24511.0
44,Concourse,17700.0
261,Elm Park,1832.0
9,Norwood,9222.0
208,Port Richmond,4444.0
285,Broadway Junction,9483.0
167,South Jamaica,14004.0
200,St. George,2911.0
27,Soundview,16239.0
22,Mott Haven,18546.0
105,Inwood,9112.0
110,Upper East Side,4211.0
163,Jamaica Center,12419.0
24,Longwood,11221.0
89,Prospect Lefferts Gardens,15867.0
168,St. Albans,6498.0
134,Jackson Heights,11792.0
58,Kensington,4925.0
263,New Lots,15047.0
284,Weeksville,21271.0
17,Fordham,23066.0
64,Bedford Stuyvesant,26209.0
121,East Village,9417.0
225,Wingate,8947.0
61,Brownsville,22980.0
49,Sunset Park,18602.0
101,Ocean Parkway,5169.0
270,Claremont Village,12781.0
293,Middle Village,2734.0
57,East Flatbush,7271.0
283,Vinegar Hill,1536.0
123,Tribeca,2648.0
72,Cypress Hills,5193.0
20,High  Bridge,14926.0
205,Grymes Hill,1905.0
53,Sheepshead Bay,4501.0
107,Manhattanville,10302.0
38,Pelham Bay,1654.0
34,Morris Park,2022.0
271,Concourse Village,14623.0
11,Baychester,2801.0
80,Bath Beach,7002.0
153,Whitestone,1782.0
116,Clinton,18611.0
88,Boerum Hill,8372.0
97,East Williamsburg,15409.0
18,East Tremont,13788.0
224,Ditmas Park,6087.0
106,Hamilton Heights,21088.0
76,Flatlands,7297.0
90,Ocean Hill,15609.0
173,Far Rockaway,10734.0
140,Richmond Hill,11865.0
273,Mount Hope,12892.0
39,Schuylerville,4130.0
73,East New York,12874.0
94,Prospect Park South,8411.0
151,South Ozone Park,9449.0
147,Glendale,3240.0
75,Canarsie,8532.0
52,Brighton Beach,8905.0
87,Downtown,9071.0
185,Holliswood,2122.0
191,Laurelton,2812.0
85,Clinton Hill,7726.0
250,Carnegie Hill,7326.0
145,Maspeth,4201.0
103,Chinatown,7279.0
26,Morrisania,11957.0
272,Mount Eden,7127.0
1,Wakefield,5659.0
135,Elmhurst,13305.0
165,Queens Village,4107.0
183,Murray Hill,3786.0
81,Borough Park,8660.0
127,Manhattan Valley,12531.0
297,Malba,732.0
83,Gerritsen Beach,3298.0
212,New Springville,498.0
21,Melrose,13308.0
6,Kingsbridge,5675.0
262,Remsen Village,7892.0
172,Rosedale,2638.0
244,Arden Heights,1234.0
150,Ozone Park,10072.0
188,Hillcrest,1502.0
42,Olinville,9407.0
10,Williamsbridge,7432.0
292,Homecrest,4955.0
132,Astoria,10141.0
113,Roosevelt Island,1754.0
158,Glen Oaks,1439.0
164,Oakland Gardens,2189.0
71,Park Slope,4708.0
149,Woodhaven,6959.0
14,Bedford Park,9576.0
169,Rochdale,14946.0
214,New Dorp,1430.0
48,Bensonhurst,7917.0
41,Castle Hill,4026.0
202,Stapleton,2061.0
120,Greenwich Village,10662.0
55,Flatbush,8652.0
93,Midwood,5831.0
171,Cambria Heights,3861.0
129,Gramercy,9639.0
190,Lindenwood,2597.0
131,Financial District,7686.0
264,Paerdegat Basin,2574.0
166,Hollis,5527.0
197,Bellaire,2875.0
125,Soho,6284.0
30,Country Club,1640.0
289,Sandy Ground,872.0
275,Hunters Point,4353.0
192,Lefrak City,8401.0
299,Madison,3012.0
210,Port Ivory,615.0
69,Gowanus,4701.0
160,Kew Gardens Hills,2582.0
154,Bayside,4892.0
2,Co-op City,3591.0
60,Prospect Heights,11644.0
15,University Heights,9024.0
8,Woodlawn,2648.0
139,Kew Gardens,2721.0
133,Woodside,8216.0
141,Downtown Flushing,12241.0
7,Marble Hill,5826.0
155,Auburndale,2924.0
114,Upper West Side,9951.0
146,Ridgewood,14042.0
265,Mill Basin,3264.0
47,Bay Ridge,8009.0
221,Tompkinsville,2476.0
246,Heartland Village,3685.0
