Neighborhood_ID,Neighborhood,Crime_Rate
137,South Corona,4488.0
16,Morris Heights,5312.0
202,Stapleton,2236.0
200,St. George,2651.0
293,Middle Village,2349.0
264,Paerdegat Basin,2806.0
207,South Beach,379.0
286,Dumbo,1256.0
268,Pomonok,3903.0
171,Cambria Heights,3641.0
282,Fulton Ferry,606.0
164,Oakland Gardens,2045.0
216,Great Kills,1742.0
220,Tottenville,1104.0
43,Pelham Gardens,3371.0
243,Rossville,716.0
267,Utopia,614.0
196,Brookville,1281.0
295,Lighthouse Hill,96.0
227,Park Hill,2591.0
13,City Island,490.0
239,Huguenot,719.0
66,Cobble Hill,2155.0
156,Little Neck,528.0
287,Manor Heights,576.0
257,Concord,535.0
217,Eltingville,1367.0
297,Malba,634.0
240,Pleasant Plains,361.0
237,New Dorp Beach,980.0
40,Edgewater Park,941.0
223,Sunnyside,416.0
92,Bergen Beach,265.0
203,Rosebank,479.0
161,Fresh Meadows,1814.0
235,Midland Beach,749.0
67,Carroll Gardens,2433.0
254,Richmond Town,626.0
218,Annadale,544.0
228,Westerleigh,1253.0
294,Prince's Bay,678.0
175,Breezy Point,320.0
211,Castleton Corners,956.0
5,Riverdale,919.0
28,Clason Point,836.0
184,Floral Park,763.0
296,Richmond Valley,396.0
213,Travis,235.0
248,Bloomfield,432.0
212,New Springville,514.0
289,Sandy Ground,835.0
193,Belle Harbor,333.0
232,Grasmere,891.0
222,Silver Lake,305.0
23,Port Morris,682.0
258,Emerson Hill,265.0
291,Roxbury,64.0
206,Todt Hill,78.0
174,Broad Channel,332.0
247,Chelsea,128.0
182,Neponsit,248.0
242,Charleston,287.0
260,Howland Hook,37.0
