Neighborhood_ID,Neighborhood,Crime_Rate,Year
57,East Flatbush,7021,2017
8,Woodlawn,3193,2017
109,East Harlem,36392,2017
61,Brownsville,19449,2017
117,Midtown,22684,2017
292,Homecrest,4882,2017
63,Bushwick,21521,2017
153,Whitestone,1693,2017
227,Park Hill,2045,2017
173,Far Rockaway,10471,2017
60,Prospect Heights,10661,2017
150,Ozone Park,9089,2017
144,East Elmhurst,4510,2017
21,Melrose,14368,2017
250,Carnegie Hill,7503,2017
192,Lefrak City,7464,2017
17,Fordham,21294,2017
169,Rochdale,12631,2017
64,Bedford Stuyvesant,21085,2017
135,Elmhurst,9698,2017
27,Soundview,14458,2017
122,Lower East Side,9819,2017
100,Navy Yard,1408,2017
165,Queens Village,3902,2017
115,Lincoln Square,16869,2017
279,Flatiron,16941,2017
280,Sunnyside Gardens,5656,2017
201,New Brighton,2315,2017
52,Brighton Beach,7252,2017
49,Sunset Park,18323,2017
151,South Ozone Park,7733,2017
20,High  Bridge,15630,2017
39,Schuylerville,4689,2017
90,Ocean Hill,12639,2017
253,Midtown South,22496,2017
251,Noho,9488,2017
198,North Corona,8850,2017
187,Queensboro Hill,3521,2017
277,Tudor City,3744,2017
46,Edenwald,7073,2017
283,Vinegar Hill,1201,2017
96,Spring Creek,4533,2017
263,New Lots,12996,2017
101,Ocean Parkway,4117,2017
284,Weeksville,16251,2017
70,Fort Greene,5147,2017
97,East Williamsburg,15282,2017
35,Belmont,10292,2017
116,Clinton,18244,2017
148,Rego Park,3623,2017
106,Hamilton Heights,16923,2017
249,Bulls Head,1184,2017
89,Prospect Lefferts Gardens,13660,2017
71,Park Slope,4020,2017
26,Morrisania,11387,2017
82,Dyker Heights,4075,2017
107,Manhattanville,9336,2017
236,Grant City,1567,2017
104,Washington Heights,15197,2017
167,South Jamaica,10223,2017
14,Bedford Park,8840,2017
22,Mott Haven,18944,2017
108,Central Harlem,28654,2017
53,Sheepshead Bay,4028,2017
127,Manhattan Valley,13252,2017
55,Flatbush,7415,2017
15,University Heights,9242,2017
62,Williamsburg,7145,2017
10,Williamsbridge,8798,2017
262,Remsen Village,7595,2017
274,Sutton Place,12166,2017
146,Ridgewood,12067,2017
44,Concourse,15627,2017
224,Ditmas Park,5068,2017
129,Gramercy,9272,2017
168,St. Albans,5000,2017
32,Westchester Square,3219,2017
271,Concourse Village,15606,2017
233,Old Town,837,2017
65,Brooklyn Heights,3195,2017
179,Edgemere,2942,2017
19,West Farms,9923,2017
24,Longwood,9583,2017
166,Hollis,4321,2017
31,Parkchester,6670,2017
