,GROSS SQUARE FEET,YEAR BUILT,SALE PRICE,NEIGHBORHOOD,Crime_Index
417,1024.0,1950.0,475000,COUNTRY CLUB,4.406000000000001
418,1440.0,1930.0,605000,COUNTRY CLUB,4.406000000000001
419,2140.0,1960.0,570000,COUNTRY CLUB,4.406000000000001
420,1944.0,1955.0,572000,COUNTRY CLUB,4.406000000000001
421,1472.0,1925.0,624000,COUNTRY CLUB,4.406000000000001
422,1428.0,1930.0,565000,COUNTRY CLUB,4.406000000000001
423,1400.0,1925.0,300000,COUNTRY CLUB,4.406000000000001
424,1454.0,1940.0,631000,COUNTRY CLUB,4.406000000000001
425,1700.0,1925.0,300000,COUNTRY CLUB,4.406000000000001
426,1360.0,1960.0,520000,COUNTRY CLUB,4.406000000000001
427,1280.0,1940.0,485000,COUNTRY CLUB,4.406000000000001
428,1388.0,1945.0,638000,COUNTRY CLUB,4.406000000000001
429,1785.0,1930.0,555000,COUNTRY CLUB,4.406000000000001
430,2124.0,1925.0,610000,COUNTRY CLUB,4.406000000000001
431,1718.0,1970.0,565000,COUNTRY CLUB,4.406000000000001
432,1843.0,1945.0,240000,COUNTRY CLUB,4.406000000000001
433,1462.0,1925.0,380000,COUNTRY CLUB,4.406000000000001
434,2500.0,1987.0,830000,COUNTRY CLUB,4.406000000000001
435,2184.0,1960.0,725000,COUNTRY CLUB,4.406000000000001
436,1360.0,1930.0,585000,COUNTRY CLUB,4.406000000000001
437,1646.0,1925.0,890000,COUNTRY CLUB,4.406000000000001
438,2355.0,1950.0,720000,COUNTRY CLUB,4.406000000000001
439,2035.0,1965.0,445000,COUNTRY CLUB,4.406000000000001
440,2035.0,1965.0,575000,COUNTRY CLUB,4.406000000000001
441,1836.0,1950.0,580000,COUNTRY CLUB,4.406000000000001
442,1296.0,1950.0,595000,COUNTRY CLUB,4.406000000000001
443,1728.0,1950.0,535000,COUNTRY CLUB,4.406000000000001
444,1785.0,1960.0,555000,COUNTRY CLUB,4.406000000000001
445,1632.0,1960.0,565000,COUNTRY CLUB,4.406000000000001
446,1292.0,1960.0,570000,COUNTRY CLUB,4.406000000000001
447,1408.0,1955.0,600000,COUNTRY CLUB,4.406000000000001
448,1636.0,1950.0,550000,COUNTRY CLUB,4.406000000000001
449,1400.0,1930.0,597000,COUNTRY CLUB,4.406000000000001
450,1836.0,1970.0,250000,COUNTRY CLUB,4.406000000000001
451,1600.0,1960.0,578000,COUNTRY CLUB,4.406000000000001
452,2016.0,1960.0,530000,COUNTRY CLUB,4.406000000000001
453,1683.0,1965.0,448000,COUNTRY CLUB,4.406000000000001
454,1836.0,1965.0,417000,COUNTRY CLUB,4.406000000000001
455,1836.0,1960.0,497700,COUNTRY CLUB,4.406000000000001
456,1116.0,1950.0,480000,COUNTRY CLUB,4.406000000000001
457,1116.0,1950.0,556000,COUNTRY CLUB,4.406000000000001
458,1116.0,1950.0,360000,COUNTRY CLUB,4.406000000000001
459,570.0,1920.0,200500,COUNTRY CLUB,4.406000000000001
460,1692.0,1950.0,510000,COUNTRY CLUB,4.406000000000001
461,570.0,1940.0,164900,COUNTRY CLUB,4.406000000000001
462,1600.0,2003.0,698000,COUNTRY CLUB,4.406000000000001
463,1384.0,1930.0,470000,COUNTRY CLUB,4.406000000000001
464,1224.0,1960.0,555000,COUNTRY CLUB,4.406000000000001
465,924.0,1925.0,360000,COUNTRY CLUB,4.406000000000001
466,1219.0,1925.0,450000,COUNTRY CLUB,4.406000000000001
467,1998.0,1965.0,475000,COUNTRY CLUB,4.406000000000001
468,2220.0,1965.0,550000,COUNTRY CLUB,4.406000000000001
469,1118.0,1955.0,560000,COUNTRY CLUB,4.406000000000001
470,2000.0,2004.0,895000,COUNTRY CLUB,4.406000000000001
471,4000.0,2004.0,985000,COUNTRY CLUB,4.406000000000001
472,1224.0,1960.0,494000,COUNTRY CLUB,4.406000000000001
473,970.0,1920.0,325000,COUNTRY CLUB,4.406000000000001
491,3780.0,1940.0,1125000,FIELDSTON,0.02
492,2808.0,1920.0,1510000,FIELDSTON,0.02
493,4188.0,1915.0,1810000,FIELDSTON,0.02
494,3642.0,1925.0,560000,FIELDSTON,0.02
495,3590.0,1920.0,2364750,FIELDSTON,0.02
496,3622.0,1935.0,2290000,FIELDSTON,0.02
497,4308.0,1910.0,550000,FIELDSTON,0.02
498,2400.0,1930.0,999000,FIELDSTON,0.02
499,2645.0,1950.0,925000,FIELDSTON,0.02
500,2222.0,1935.0,1250000,FIELDSTON,0.02
501,3276.0,1930.0,1615000,FIELDSTON,0.02
502,3148.0,1901.0,1200000,FIELDSTON,0.02
503,3447.0,1901.0,1350000,FIELDSTON,0.02
504,3750.0,1970.0,1600000,FIELDSTON,0.02
505,1480.0,1940.0,665000,FIELDSTON,0.02
506,2360.0,2008.0,694381,FIELDSTON,0.02
507,2725.0,1925.0,1110000,FIELDSTON,0.02
508,2808.0,1920.0,2250000,FIELDSTON,0.02
509,1965.0,1910.0,650000,FORDHAM,0.02
510,1922.0,1920.0,335000,FORDHAM,0.02
511,1380.0,1901.0,256500,FORDHAM,0.02
512,1526.0,1901.0,375000,FORDHAM,0.02
513,1448.0,1901.0,292793,FORDHAM,0.02
514,1448.0,1901.0,300000,FORDHAM,0.02
515,1424.0,1901.0,658820,FORDHAM,0.02
516,1424.0,1901.0,449000,FORDHAM,0.02
517,1564.0,1901.0,145000,FORDHAM,0.02
518,1528.0,1901.0,375000,FORDHAM,0.02
519,2025.0,1910.0,395000,FORDHAM,0.02
520,1794.0,1915.0,525000,FORDHAM,0.02
660,1260.0,1960.0,400000,PARKCHESTER,1.031
661,1796.0,1930.0,225000,PARKCHESTER,1.031
662,1796.0,1930.0,535000,PARKCHESTER,1.031
663,2032.0,1920.0,550000,PARKCHESTER,1.031
664,1120.0,1899.0,363824,PARKCHESTER,1.031
665,1008.0,1899.0,100000,PARKCHESTER,1.031
666,3066.0,1928.0,570000,PARKCHESTER,1.031
667,2178.0,1940.0,585000,PELHAM GARDENS,0.02
668,1914.0,1945.0,490000,PELHAM GARDENS,0.02
669,2465.0,1935.0,700000,PELHAM GARDENS,0.02
670,1962.0,1955.0,920000,PELHAM GARDENS,0.02
671,1944.0,1955.0,400000,PELHAM GARDENS,0.02
672,1512.0,1940.0,445000,PELHAM GARDENS,0.02
673,1520.0,1940.0,889000,PELHAM GARDENS,0.02
674,1680.0,1950.0,710000,PELHAM GARDENS,0.02
675,3192.0,1950.0,1250000,PELHAM GARDENS,0.02
676,1224.0,1965.0,575000,PELHAM GARDENS,0.02
677,2520.0,1965.0,575311,PELHAM GARDENS,0.02
678,2520.0,1965.0,685000,PELHAM GARDENS,0.02
679,927.0,1945.0,540000,PELHAM GARDENS,0.02
680,1048.0,1940.0,455000,PELHAM GARDENS,0.02
681,1048.0,1940.0,450000,PELHAM GARDENS,0.02
682,1048.0,1940.0,400000,PELHAM GARDENS,0.02
683,1048.0,1940.0,415000,PELHAM GARDENS,0.02
684,1360.0,1940.0,555000,PELHAM GARDENS,0.02
685,1360.0,1940.0,215000,PELHAM GARDENS,0.02
686,1360.0,1940.0,512602,PELHAM GARDENS,0.02
687,1360.0,1940.0,470000,PELHAM GARDENS,0.02
688,3193.0,1945.0,625000,PELHAM GARDENS,0.02
689,1428.0,1899.0,725000,PELHAM GARDENS,0.02
690,1240.0,1960.0,485000,PELHAM GARDENS,0.02
691,1400.0,1931.0,515000,PELHAM GARDENS,0.02
692,1400.0,1931.0,520000,PELHAM GARDENS,0.02
693,1400.0,1931.0,475000,PELHAM GARDENS,0.02
694,1368.0,1945.0,492000,PELHAM GARDENS,0.02
695,850.0,1940.0,425000,PELHAM GARDENS,0.02
696,1946.0,1950.0,445000,PELHAM GARDENS,0.02
697,1728.0,1965.0,555000,PELHAM GARDENS,0.02
698,2484.0,1999.0,600000,PELHAM GARDENS,0.02
699,1944.0,1965.0,530000,PELHAM GARDENS,0.02
748,2930.0,1920.0,1156250,RIVERDALE,0.02
749,2727.0,1930.0,999000,RIVERDALE,0.02
750,1560.0,1963.0,300000,RIVERDALE,0.02
751,3249.0,1915.0,1555000,RIVERDALE,0.02
752,2134.0,1950.0,997500,RIVERDALE,0.02
753,3285.0,1925.0,800000,RIVERDALE,0.02
754,1665.0,1945.0,795000,RIVERDALE,0.02
755,6225.0,1998.0,1451000,RIVERDALE,0.02
756,1932.0,1930.0,520000,RIVERDALE,0.02
757,2035.0,1940.0,900000,RIVERDALE,0.02
758,2350.0,1925.0,885000,RIVERDALE,0.02
759,2640.0,1920.0,1750000,RIVERDALE,0.02
760,1845.0,1930.0,995000,RIVERDALE,0.02
761,2750.0,2008.0,1575000,RIVERDALE,0.02
762,7059.0,1950.0,3100000,RIVERDALE,0.02
763,100.0,1950.0,3100000,RIVERDALE,0.02
764,1312.0,1935.0,235000,RIVERDALE,0.02
765,1240.0,1920.0,410000,RIVERDALE,0.02
766,1668.0,1935.0,827530,RIVERDALE,0.02
767,1755.0,1930.0,510000,RIVERDALE,0.02
768,2550.0,1960.0,985000,RIVERDALE,0.02
769,1492.0,1925.0,495937,RIVERDALE,0.02
770,2396.0,1950.0,875000,RIVERDALE,0.02
771,2736.0,1930.0,896525,RIVERDALE,0.02
772,1404.0,1920.0,313326,RIVERDALE,0.02
773,1534.0,1940.0,420000,RIVERDALE,0.02
774,1796.0,2014.0,990000,RIVERDALE,0.02
775,1470.0,1940.0,699000,RIVERDALE,0.02
776,1470.0,1940.0,378000,RIVERDALE,0.02
777,1240.0,1940.0,620000,RIVERDALE,0.02
778,1243.0,1915.0,700000,RIVERDALE,0.02
779,1512.0,1925.0,460000,RIVERDALE,0.02
780,1512.0,1925.0,490000,RIVERDALE,0.02
781,2273.0,1935.0,768000,RIVERDALE,0.02
782,1368.0,1915.0,430000,RIVERDALE,0.02
783,2014.0,1930.0,835000,RIVERDALE,0.02
784,2049.0,1925.0,750000,RIVERDALE,0.02
785,1746.0,1925.0,450000,RIVERDALE,0.02
786,2142.0,1930.0,640000,RIVERDALE,0.02
787,1620.0,1930.0,780000,RIVERDALE,0.02
788,2652.0,1925.0,1240000,RIVERDALE,0.02
789,4172.0,1985.0,1490000,RIVERDALE,0.02
790,2552.0,1930.0,2450000,RIVERDALE,0.02
791,2816.0,1960.0,1600000,RIVERDALE,0.02
792,3780.0,1987.0,437500,RIVERDALE,0.02
793,3780.0,1987.0,437500,RIVERDALE,0.02
794,4060.0,1950.0,2025000,RIVERDALE,0.02
795,5354.0,1920.0,4200000,RIVERDALE,0.02
796,7729.0,1901.0,3873963,RIVERDALE,0.02
797,6190.0,1920.0,3850000,RIVERDALE,0.02
798,2973.0,1950.0,992875,RIVERDALE,0.02
799,2845.0,1960.0,1143000,RIVERDALE,0.02
866,608.0,1930.0,375000,SOUNDVIEW,2.987
867,1152.0,1925.0,380000,SOUNDVIEW,2.987
868,700.0,1910.0,214725,SOUNDVIEW,2.987
869,1025.0,1910.0,105000,SOUNDVIEW,2.987
870,1420.0,1930.0,155000,SOUNDVIEW,2.987
871,1420.0,1930.0,445000,SOUNDVIEW,2.987
872,968.0,1930.0,200000,SOUNDVIEW,2.987
873,768.0,1930.0,205000,SOUNDVIEW,2.987
874,1472.0,1925.0,205000,SOUNDVIEW,2.987
875,714.0,1925.0,439000,SOUNDVIEW,2.987
876,1455.0,1901.0,345330,SOUNDVIEW,2.987
877,1428.0,1930.0,450000,SOUNDVIEW,2.987
878,900.0,1925.0,370000,SOUNDVIEW,2.987
879,815.0,1920.0,392500,SOUNDVIEW,2.987
880,1100.0,1920.0,210000,SOUNDVIEW,2.987
881,920.0,1920.0,425000,SOUNDVIEW,2.987
882,1200.0,1920.0,262500,SOUNDVIEW,2.987
883,950.0,1920.0,260000,SOUNDVIEW,2.987
884,1600.0,1940.0,433000,SOUNDVIEW,2.987
885,1276.0,1955.0,265000,SOUNDVIEW,2.987
886,2075.0,1970.0,245000,SOUNDVIEW,2.987
887,910.0,1935.0,337500,SOUNDVIEW,2.987
888,1180.0,1945.0,479000,SOUNDVIEW,2.987
889,1281.0,1945.0,480000,SOUNDVIEW,2.987
890,1344.0,1925.0,370000,SOUNDVIEW,2.987
891,1582.0,1930.0,165000,SOUNDVIEW,2.987
892,1224.0,1930.0,437000,SOUNDVIEW,2.987
893,1410.0,1920.0,350000,SOUNDVIEW,2.987
894,1448.0,1930.0,410000,SOUNDVIEW,2.987
895,1290.0,1925.0,395000,SOUNDVIEW,2.987
896,1224.0,1960.0,400000,SOUNDVIEW,2.987
897,1224.0,1965.0,160000,SOUNDVIEW,2.987
898,1970.0,1925.0,372100,SOUNDVIEW,2.987
899,1776.0,1920.0,600000,SOUNDVIEW,2.987
900,1776.0,1920.0,335000,SOUNDVIEW,2.987
901,2272.0,1920.0,509000,SOUNDVIEW,2.987
902,1376.0,1920.0,300000,SOUNDVIEW,2.987
903,1440.0,1930.0,450000,SOUNDVIEW,2.987
904,848.0,1920.0,685219,SOUNDVIEW,2.987
905,848.0,1920.0,295811,SOUNDVIEW,2.987
906,1440.0,1920.0,225000,SOUNDVIEW,2.987
907,1392.0,1920.0,355000,SOUNDVIEW,2.987
908,1560.0,1960.0,265000,SOUNDVIEW,2.987
909,2007.0,1925.0,380250,SOUNDVIEW,2.987
1020,1378.0,1940.0,425000,WAKEFIELD,3.365
1021,1152.0,1950.0,405000,WAKEFIELD,3.365
1022,918.0,1930.0,283000,WAKEFIELD,3.365
1023,1216.0,1930.0,407500,WAKEFIELD,3.365
1024,1458.0,1930.0,435000,WAKEFIELD,3.365
1025,896.0,1944.0,315000,WAKEFIELD,3.365
1026,1309.0,1930.0,321674,WAKEFIELD,3.365
1027,1872.0,1930.0,440000,WAKEFIELD,3.365
1028,1386.0,1930.0,395836,WAKEFIELD,3.365
1029,1008.0,1940.0,390000,WAKEFIELD,3.365
1030,976.0,1925.0,225000,WAKEFIELD,3.365
1031,976.0,1925.0,490000,WAKEFIELD,3.365
1032,1208.0,1920.0,442500,WAKEFIELD,3.365
1033,1872.0,1920.0,420000,WAKEFIELD,3.365
1034,1186.0,1920.0,440000,WAKEFIELD,3.365
1035,1290.0,1930.0,345000,WAKEFIELD,3.365
1036,1290.0,1930.0,506000,WAKEFIELD,3.365
1037,1156.0,1950.0,255000,WAKEFIELD,3.365
1038,1156.0,1950.0,460000,WAKEFIELD,3.365
1039,1400.0,1930.0,265000,WAKEFIELD,3.365
1040,1248.0,1940.0,383157,WAKEFIELD,3.365
1041,1585.0,1960.0,450000,WAKEFIELD,3.365
1042,1600.0,2018.0,630297,WAKEFIELD,3.365
1043,690.0,1950.0,330000,WAKEFIELD,3.365
1044,690.0,1950.0,235000,WAKEFIELD,3.365
1045,1056.0,1955.0,375000,WAKEFIELD,3.365
1046,1400.0,1960.0,455000,WAKEFIELD,3.365
1047,1813.0,1960.0,460000,WAKEFIELD,3.365
1048,1813.0,1960.0,445000,WAKEFIELD,3.365
1049,1485.0,1950.0,335000,WAKEFIELD,3.365
1050,1782.0,1950.0,375000,WAKEFIELD,3.365
1051,1925.0,1940.0,330000,WAKEFIELD,3.365
1052,1925.0,1940.0,499000,WAKEFIELD,3.365
1053,920.0,1945.0,340000,WAKEFIELD,3.365
1054,1512.0,1965.0,301665,WAKEFIELD,3.365
1055,1952.0,1925.0,508000,WAKEFIELD,3.365
1056,1264.0,1925.0,355000,WAKEFIELD,3.365
1057,1212.0,1930.0,430000,WAKEFIELD,3.365
1058,1292.0,1930.0,370800,WAKEFIELD,3.365
1059,1407.0,1945.0,440000,WAKEFIELD,3.365
1060,1568.0,1920.0,325000,WAKEFIELD,3.365
1061,1568.0,1920.0,570000,WAKEFIELD,3.365
1062,1440.0,1940.0,330000,WAKEFIELD,3.365
1063,1224.0,1970.0,410000,WAKEFIELD,3.365
