borough_id,nbhd,name,transaction_volume,property_count,average_sale_price,year
5,CONCORD,Staten Island,62,61,330245.8548,2015
5,CONCORD-FOX HILLS,Staten Island,12,11,278402.1667,2015
3,CONEY ISLAND,Brooklyn,167,95,1799958.491,2015
4,CORONA,Queens,408,356,703121.2868,2015
2,COUNTRY CLUB, Bronx,108,105,456447.0648,2015
2,CROTONA PARK, Bronx,33,30,680871.2424,2015
3,CROWN HEIGHTS,Brooklyn,601,550,1415660.466,2015
3,CYPRESS HILLS,Brooklyn,242,224,634352.6488,2015
5,DONGAN HILLS,Staten Island,59,54,526662.2203,2015
5,DONGAN HILLS-COLONY,Staten Island,41,41,702365.8537,2015
5,DONGAN HILLS-OLD TOWN,Staten Island,4,4,479010,2015
4,DOUGLASTON,Queens,163,116,610262.0307,2015
3,DOWNTOWN-FULTON FERRY,Brooklyn,111,107,1733596.577,2015
3,DOWNTOWN-FULTON MALL,Brooklyn,139,124,5048965.043,2015
3,DOWNTOWN-METROTECH,Brooklyn,108,63,814918.0463,2015
3,DYKER HEIGHTS,Brooklyn,170,170,936430.2,2015
4,EAST ELMHURST,Queens,137,133,603862.854,2015
3,EAST NEW YORK,Brooklyn,666,617,598842.7928,2015
2,EAST TREMONT, Bronx,106,90,1332723.66,2015
1,EAST VILLAGE,Manhattan,164,112,3280317.543,2015
4,ELMHURST,Queens,548,393,716109.0292,2015
5,ELTINGVILLE,Staten Island,202,201,456626.1584,2015
5,EMERSON HILL,Staten Island,4,4,1491133.75,2015
4,FAR ROCKAWAY,Queens,254,245,625682.811,2015
1,FASHION,Manhattan,107,82,19801686.21,2015
2,FIELDSTON, Bronx,26,16,1219535.192,2015
1,FINANCIAL,Manhattan,368,352,4340439.47,2015
3,FLATBUSH,Brooklyn,409,326,1848082.782,2015
3,EAST FLATBUSH,Brooklyn,495,430,778218.5778,2015
3,FLATBUSH-LEFFERTS GARDEN,Brooklyn,117,94,1461084.991,2015
3,FLATBUSH-NORTH,Brooklyn,244,220,1402935.311,2015
1,FLATIRON,Manhattan,370,275,11681055.7,2015
3,FLATLANDS,Brooklyn,102,89,656544.2647,2015
4,FLORAL PARK,Queens,122,108,517131.1475,2015
4,FLUSHING MEADOW PARK,Queens,11,4,323045.4545,2015
4,FLUSHING-NORTH,Queens,1612,1268,1221923.174,2015
4,FLUSHING-SOUTH,Queens,605,377,736332.8347,2015
2,FORDHAM, Bronx,56,53,2895674.571,2015
4,FOREST HILLS,Queens,993,478,615889.429,2015
3,FORT GREENE,Brooklyn,190,136,2984900.668,2015
4,FRESH MEADOWS,Queens,116,92,668805.6983,2015
3,GERRITSEN BEACH,Brooklyn,63,60,369734.5238,2015
4,GLEN OAKS,Queens,279,49,404985.129,2015
4,GLENDALE,Queens,276,230,618613.0978,2015
3,GOWANUS,Brooklyn,82,82,3336146.585,2015
1,GRAMERCY,Manhattan,401,168,2280862.035,2015
5,GRANT CITY,Staten Island,96,84,387195.9896,2015
5,GRASMERE,Staten Island,74,74,763568.3378,2015
3,GRAVESEND,Brooklyn,386,353,791008.4275,2015
5,GREAT KILLS,Staten Island,388,381,429840.5464,2015
5,GREAT KILLS-BAY TERRACE,Staten Island,36,32,405148,2015
3,GREENPOINT,Brooklyn,273,266,2784319.824,2015
1,GREENWICH VILLAGE-CENTRAL,Manhattan,532,213,3280284.665,2015
1,GREENWICH VILLAGE-WEST,Manhattan,504,334,4026801.419,2015
1,GREENWICH VILLAGE,Manhattan,518,273.5,3653543.042,2015
5,GRYMES HILL,Staten Island,40,30,400776.55,2015
4,HAMMELS,Queens,52,50,456852.7115,2015
1,HARLEM,Manhattan,620,541,2323698.469,2015
1,EAST HARLEM,Manhattan,147,129,2541624.184,2015
1,HARLEM-UPPER,Manhattan,151,140,1890568.139,2015
1,HARLEM-WEST,Manhattan,32,27,3942474.281,2015
2,HIGHBRIDGE, Bronx,88,81,1821977.602,2015
2,MORRIS HEIGHTS, Bronx,88,81,1821977.602,2015
4,HILLCREST,Queens,82,51,374492.8293,2015
4,HOLLIS,Queens,273,258,504398,2015
4,HOLLIS HILLS,Queens,50,27,599050,2015
4,HOLLISWOOD,Queens,75,43,581734.56,2015
4,HOWARD BEACH,Queens,370,260,440072.1946,2015
5,HUGUENOT,Staten Island,86,85,579760.1395,2015
2,HUNTS POINT, Bronx,48,48,1323531.146,2015
1,INWOOD,Manhattan,115,53,1210150.087,2015
4,JACKSON HEIGHTS,Queens,802,432,506731.9414,2015
4,JAMAICA,Queens,204,157,1000404.735,2015
4,JAMAICA BAY,Queens,7,6,288669.7143,2015
4,JAMAICA ESTATES,Queens,71,65,2009773.408,2015
4,JAMAICA HILLS,Queens,61,49,530201.1803,2015
1,JAVITS CENTER,Manhattan,34,13,11874624.35,2015
3,KENSINGTON,Brooklyn,94,58,1017688.234,2015
4,KEW GARDENS,Queens,266,103,494845.9925,2015
2,KINGSBRIDGE HTS/UNIV HTS, Bronx,98,67,1683680.827,2015
2,JEROME PARK, Bronx,163,107,1768788.423,2015
2,KINGSBRIDGE, Bronx,163,107,1768788.423,2015
1,KIPS BAY,Manhattan,224,158,26749340.07,2015
4,LAURELTON,Queens,172,157,383950.1221,2015
1,LITTLE ITALY,Manhattan,64,63,7834421.547,2015
4,LITTLE NECK,Queens,182,110,619026.6484,2015
5,LIVINGSTON,Staten Island,31,24,313736.6452,2015
4,LONG ISLAND CITY,Queens,350,304,4319532.466,2015
1,LOWER EAST SIDE,Manhattan,261,122,2760003.011,2015
3,MADISON,Brooklyn,236,202,780242.4915,2015
3,MANHATTAN BEACH,Brooklyn,66,66,1340339.727,2015
1,MANHATTAN VALLEY,Manhattan,200,169,1810856.61,2015
5,MANOR HEIGHTS,Staten Island,98,96,527977.9286,2015
3,MARINE PARK,Brooklyn,272,224,663181.5294,2015
5,MARINERS HARBOR,Staten Island,129,123,277551.5581,2015
4,MASPETH,Queens,266,254,805389.8158,2015
2,MELROSE, Bronx,202,108,996335.7772,2015
2,CONCOURSE, Bronx,202,108,996335.7772,2015
4,MIDDLE VILLAGE,Queens,286,274,657770.3077,2015
5,MIDLAND BEACH,Staten Island,263,258,367459.5894,2015
1,MIDTOWN CBD,Manhattan,158,112,14276890.63,2015
1,MIDTOWN EAST,Manhattan,1165,545,2759218.866,2015
1,MIDTOWN WEST,Manhattan,3784,654,2506259.725,2015
1,MIDTOWN,Manhattan,1702.333333,437,6514123.074,2015
3,MIDWOOD,Brooklyn,262,216,974720.3015,2015
3,MILL BASIN,Brooklyn,78,78,799633.1538,2015
