borough_id,region_name,name,transaction_volume,property_count,average_sale_price
5,TODT HILL,Staten Island,27,26,1491759.963
5,TOMPKINSVILLE,Staten Island,45,44,440340.1333
5,TOTTENVILLE,Staten Island,206,200,685340.068
5,TRAVIS,Staten Island,68,68,500427.5147
1,TRIBECA,Manhattan,395,388,5742685.301
1,UPPER EAST SIDE (59-79),Manhattan,1300,643,3108166.478
1,UPPER EAST SIDE (79-96),Manhattan,1212,710,2519423.807
1,UPPER EAST SIDE (96-110),Manhattan,49,23,2918092.429
1,UPPER EAST SIDE,Manhattan,NA,NA,2848560.905
1,UPPER WEST SIDE (59-79),Manhattan,1089,650,3989791.041
1,UPPER WEST SIDE (79-96),Manhattan,671,403,2919720.55
1,UPPER WEST SIDE (96-116),Manhattan,313,176,4308464.668
1,UPPER WEST SIDE,Manhattan,NA,NA,3739325.42
2,VAN CORTLANDT PARK,Bronx,4,1,194875
2,WAKEFIELD,Bronx,163,154,623965.2147
1,WASHINGTON HEIGHTS LOWER,Manhattan,125,85,2874544.928
1,WASHINGTON HEIGHTS UPPER,Manhattan,224,70,1093792.897
5,WEST NEW BRIGHTON,Staten Island,243,228,466160.5802
2,WESTCHESTER,Bronx,87,82,2238201.345
5,WESTERLEIGH,Staten Island,129,127,578536.6124
4,WHITESTONE,Queens,301,231,818634.5017
2,WILLIAMSBRIDGE,Bronx,365,333,581183.8082
3,WILLIAMSBURG-CENTRAL,Brooklyn,94,90,993142.8617
3,WILLIAMSBURG-EAST,Brooklyn,222,217,1703273.081
3,WILLIAMSBURG-NORTH,Brooklyn,238,238,1908345.933
3,WILLIAMSBURG-SOUTH,Brooklyn,165,157,1986996.776
5,WILLOWBROOK,Staten Island,107,107,619133.8692
3,WINDSOR TERRACE,Brooklyn,117,86,1118624.812
4,WOODHAVEN,Queens,264,250,676840.2083
2,WOODLAWN,Bronx,61,41,378952.7869
5,WOODROW,Staten Island,134,130,638487.4328
4,WOODSIDE,Queens,242,141,815615.2893
3,WYCKOFF HEIGHTS,Brooklyn,53,52,1270958.943
